Format,2.0A,
Memory Length,5000,
Trigger Level,0.00V,
Source,CH1,
Label,ACK,
Probe Ratio,1.000E+00,
Vertical Units,V,
Vertical Scale,5.000E-01,
Vertical Position,5.800E-01,
Horizontal Units,S,
Horizontal Scale,2.000E-01,
Horizontal Position,0.000E+00,
Horizontal Mode,Roll Mode,
Sampling Period,4.000E-04,
Firmware,V1.21,
Time,07-Mar-23 20:09:59,
Mode,Detail,
Waveform Data,
-8.584000e-01,-1.80e-01,
-8.580000e-01,-1.60e-01,
-8.576000e-01,-2.00e-01,
-8.572000e-01,-1.60e-01,
-8.568000e-01,-1.80e-01,
-8.564000e-01,-2.00e-01,
-8.560000e-01,-1.80e-01,
-8.556000e-01,-2.00e-01,
-8.552000e-01,-1.80e-01,
-8.548000e-01,-1.80e-01,
-8.544000e-01,-2.00e-01,
-8.540000e-01,-1.80e-01,
-8.536000e-01,-2.20e-01,
-8.532000e-01,-1.80e-01,
-8.528000e-01,-2.00e-01,
-8.524000e-01,-1.80e-01,
-8.520000e-01,-2.00e-01,
-8.516000e-01,-1.60e-01,
-8.512000e-01,-2.00e-01,
-8.508000e-01,-1.60e-01,
-8.504000e-01,-1.60e-01,
-8.500000e-01,-2.00e-01,
-8.496000e-01,-1.80e-01,
-8.492000e-01,-1.40e-01,
-8.488000e-01,-1.40e-01,
-8.484000e-01,-1.80e-01,
-8.480000e-01,-1.20e-01,
-8.476000e-01,-1.60e-01,
-8.472000e-01,-1.40e-01,
-8.468000e-01,-1.00e-01,
-8.464000e-01,-1.40e-01,
-8.460000e-01,-1.00e-01,
-8.456000e-01,-8.00e-02,
-8.452000e-01,-1.20e-01,
-8.448000e-01,-1.00e-01,
-8.444000e-01,-6.00e-02,
-8.440000e-01,-8.00e-02,
-8.436000e-01,-4.00e-02,
-8.432000e-01,-8.00e-02,
-8.428000e-01,-6.00e-02,
-8.424000e-01,0.00e+00,
-8.420000e-01,-4.00e-02,
-8.416000e-01,-4.00e-02,
-8.412000e-01,2.00e-02,
-8.408000e-01,0.00e+00,
-8.404000e-01,4.00e-02,
-8.400000e-01,2.00e-02,
-8.396000e-01,2.00e-02,
-8.392000e-01,6.00e-02,
-8.388000e-01,4.00e-02,
-8.384000e-01,1.00e-01,
-8.380000e-01,1.20e-01,
-8.376000e-01,8.00e-02,
-8.372000e-01,1.40e-01,
-8.368000e-01,1.20e-01,
-8.364000e-01,1.60e-01,
-8.360000e-01,1.40e-01,
-8.356000e-01,2.00e-01,
-8.352000e-01,2.20e-01,
-8.348000e-01,1.80e-01,
-8.344000e-01,2.00e-01,
-8.340000e-01,2.60e-01,
-8.336000e-01,2.80e-01,
-8.332000e-01,2.40e-01,
-8.328000e-01,3.20e-01,
-8.324000e-01,2.80e-01,
-8.320000e-01,3.40e-01,
-8.316000e-01,3.00e-01,
-8.312000e-01,3.20e-01,
-8.308000e-01,3.80e-01,
-8.304000e-01,4.00e-01,
-8.300000e-01,3.60e-01,
-8.296000e-01,4.20e-01,
-8.292000e-01,4.00e-01,
-8.288000e-01,4.40e-01,
-8.284000e-01,4.60e-01,
-8.280000e-01,4.20e-01,
-8.276000e-01,4.80e-01,
